Name,Class,Role,Tier,Score,Trend,Win %,Role %,Pick %,Ban %,KDA,Parche
Ahri,Mage,MID,A,55.85,2.64,50.71%,93.24%,4.56%,1.04%,2.55,12.2
Akali,Assassin,TOP,God,87.73,29.87,49.70%,44.38%,6.19%,21.71%,2.13,12.2
Akali,Assassin,MID,S,74.58,9.28,49.85%,55.40%,8.26%,21.71%,2.42,12.2
Akshan,Marksman,MID,S,63.49,3.64,51.94%,59.70%,4.86%,23.10%,2.28,12.2
Akshan,Marksman,TOP,A,56.86,0.98,51.71%,33.35%,2.70%,23.10%,2,12.2
Alistar,Tank,SUPPORT,B,43.57,-2.51,50.07%,98.09%,3.26%,0.67%,2.5,12.2
Amumu,Tank,JUNGLE,A,53.55,7.86,52.93%,86.38%,3.74%,1.64%,2.68,12.2
Amumu,Tank,SUPPORT,D,31.37,-4.51,50.03%,12.29%,0.36%,1.64%,02.05,12.2
Anivia,Mage,MID,A,54.65,1.28,52.20%,82.13%,3.20%,2.91%,2.63,12.2
Anivia,Mage,SUPPORT,D,25.66,-6.07,47.11%,11.75%,0.40%,2.92%,2.14,12.2
Annie,Mage,MID,B,45.69,-3.12,50.77%,84.72%,1.99%,0.65%,2.39,12.2
Aphelios,Marksman,ADC,C,37.52,1.55,47.30%,98.31%,6.45%,1.26%,02.04,12.2
Ashe,Marksman,ADC,C,36.88,-6.2,48.52%,90.75%,4.40%,0.83%,2.27,12.2
Aurelion Sol,Mage,MID,B,41.78,-0.37,50.45%,88.01%,0.89%,0.26%,2.53,12.2
Azir,Mage,MID,C,33.91,1.22,47.43%,92.57%,1.11%,0.20%,02.09,12.2
Bard,Support,SUPPORT,A,48.36,-1.45,50.65%,97.43%,3.58%,0.87%,03.01,12.2
Blitzcrank,Tank,SUPPORT,S,72.94,5.14,52.80%,99.27%,8.28%,18.58%,2.46,12.2
Brand,Mage,SUPPORT,B,41.45,-3.75,48.71%,75.97%,4.18%,5.40%,1.78,12.2
Brand,Mage,MID,B,37.88,-3.33,50.04%,14.02%,0.80%,5.92%,1.98,12.2
