MLP,Patente,Altura,Ancho,Largo,Modelo,Año,Largo Carga,Superficie Carga m3,Cantidad de Pallet,Capacidad de carga M3,Altura Carga,Ancho Carga,Tipo,SI
Chazki,JCW692,3.5,2.4,7.3,MERCEDES BENZ ACCELO 915,2010,5.3,12.72,9.716.666.667,23.32,2,2.2,Chasis Pesado,Si
Chazki,AA209ZF,3,2.6,8.7,MERCEDES BENZ ATEGO 1419,2016,6.7,17.42,11.055,26.532,1.8,2.2,Chasis Pesado,Si
Chazki,AE199AM,3.25,2.4,7.4,MERCEDES BENZ ACCELO 815,2020,5.4,12.96,9.9,23.76,2,2.2,Chasis Pesado,Si
Chazki,AC632JU,3.4,2.6,8.7,MERCEDES BENZ ATEGO 1419,2018,6.7,17.42,1.228.333.333,29.48,2,2.2,Chasis Pesado,Si
Dos Haches,AD157PX,3.3,2.3,7,MERCEDES BENZ ACCELO 815,2018,5,11.5,8.75,21,2,2.1,Chasis,Si
Dos Haches,HHG395,3,2.25,7.1,MERCEDES BENZ SPRINTER 413 CDI CH 4025,2008,5.1,11.475,784.125,18.819,1.8,02.05,Chasis,Si
Dos Haches,AF701GP,3.2,2.5,7.1,HINO 300/816,2022,5.1,12.75,9.35,22.44,2,2.2,Chasis,Si
ELOG,TCK273,3,2.2,6.45,MERCEDES BENZ L608D/35,1983,4.45,9.79,8.158.333.333,29.37,1.8,2,Chasis Pesado,Si
ELOG,LNT501,3.6,2.6,8.8,MERCEDES BENZ L-1318,2012,6.8,17.68,1.473.333.333,63.648,2,2.2,Chasis Pesado,Si
EntregAR,WBA669,03.05,2.35,6.6,MERCEDES BENZ L709,1992,4.6,10.81,7.800.833.333,18.722,1.85,2.2,Chasis,Si
EntregAR,AC369CH,3.3,2.5,7.55,MERCEDES BENZ ACCELO 815,2018,5.55,13.875,10.175,24.42,2,2.2,Chasis Pesado,Si
